{'seq': 1920, 'type': 'Truck', 'timestamp': '2023-11-19T18:41:00', 'truckId': 191, 'positionLatitude': 38.0453987121582, 'positionLongitude': -84.42088317871094, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1932, 'type': 'Truck', 'timestamp': '2023-11-19T18:43:15', 'truckId': 383, 'positionLatitude': 39.95430374145508, 'positionLongitude': -75.15935516357422, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1933, 'type': 'Truck', 'timestamp': '2023-11-19T18:43:19', 'truckId': 289, 'positionLatitude': 35.14725875854492, 'positionLongitude': -80.9407958984375, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 1934, 'type': 'Truck', 'timestamp': '2023-11-19T18:43:34', 'truckId': 149, 'positionLatitude': 41.73525238037109, 'positionLongitude': -72.66748809814453, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 1935, 'type': 'Truck', 'timestamp': '2023-11-19T18:43:37', 'truckId': 358, 'positionLatitude': 36.94601821899414, 'positionLongitude': -81.04188537597656, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 1936, 'type': 'Truck', 'timestamp': '2023-11-19T18:44:40', 'truckId': 194, 'positionLatitude': 39.64293670654297, 'positionLongitude': -77.83087158203125, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 1937, 'type': 'Truck', 'timestamp': '2023-11-19T18:45:20', 'truckId': 112, 'positionLatitude': 41.235984802246094, 'positionLongitude': -73.0257797241211, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 1938, 'type': 'Truck', 'timestamp': '2023-11-19T18:45:38', 'truckId': 128, 'positionLatitude': 32.72098922729492, 'positionLongitude': -81.2348861694336, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1939, 'type': 'Truck', 'timestamp': '2023-11-19T18:47:37', 'truckId': 319, 'positionLatitude': 42.39994430541992, 'positionLongitude': -72.62776184082031, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 1940, 'type': 'Truck', 'timestamp': '2023-11-19T18:47:38', 'truckId': 295, 'positionLatitude': 40.13283920288086, 'positionLongitude': -84.21682739257812, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 1941, 'type': 'Truck', 'timestamp': '2023-11-19T18:47:46', 'truckId': 268, 'positionLatitude': 39.32496643066406, 'positionLongitude': -84.42167663574219, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1942, 'type': 'Truck', 'timestamp': '2023-11-19T18:48:04', 'truckId': 374, 'positionLatitude': 33.05207443237305, 'positionLongitude': -84.95841979980469, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 1943, 'type': 'Truck', 'timestamp': '2023-11-19T18:48:37', 'truckId': 363, 'positionLatitude': 35.24045181274414, 'positionLongitude': -79.73489379882812, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1944, 'type': 'Truck', 'timestamp': '2023-11-19T18:49:14', 'truckId': 306, 'positionLatitude': 46.34772872924805, 'positionLongitude': -67.84207916259766, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1945, 'type': 'Truck', 'timestamp': '2023-11-19T18:49:19', 'truckId': 377, 'positionLatitude': 34.84538650512695, 'positionLongitude': -82.27813720703125, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1946, 'type': 'Truck', 'timestamp': '2023-11-19T18:49:26', 'truckId': 243, 'positionLatitude': 38.18129348754883, 'positionLongitude': -77.50174713134766, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1947, 'type': 'Truck', 'timestamp': '2023-11-19T18:49:49', 'truckId': 364, 'positionLatitude': 41.56161880493164, 'positionLongitude': -74.50213623046875, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 1948, 'type': 'Truck', 'timestamp': '2023-11-19T18:50:12', 'truckId': 388, 'positionLatitude': 35.99786376953125, 'positionLongitude': -79.7542953491211, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 1949, 'type': 'Truck', 'timestamp': '2023-11-19T18:50:18', 'truckId': 218, 'positionLatitude': 42.83252716064453, 'positionLongitude': -85.52465057373047, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1950, 'type': 'Truck', 'timestamp': '2023-11-19T18:50:27', 'truckId': 274, 'positionLatitude': 44.51298522949219, 'positionLongitude': -70.6191635131836, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1951, 'type': 'Truck', 'timestamp': '2023-11-19T18:50:27', 'truckId': 274, 'positionLatitude': 44.52141189575195, 'positionLongitude': -70.5516128540039, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1952, 'type': 'Truck', 'timestamp': '2023-11-19T18:50:32', 'truckId': 298, 'positionLatitude': 42.36239242553711, 'positionLongitude': -83.27641296386719, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 1953, 'type': 'Truck', 'timestamp': '2023-11-19T18:51:40', 'truckId': 180, 'positionLatitude': 43.79069900512695, 'positionLongitude': -79.66244506835938, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 1954, 'type': 'Truck', 'timestamp': '2023-11-19T18:51:44', 'truckId': 209, 'positionLatitude': 36.925052642822266, 'positionLongitude': -81.21260070800781, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1955, 'type': 'Truck', 'timestamp': '2023-11-19T18:51:51', 'truckId': 177, 'positionLatitude': 37.900333404541016, 'positionLongitude': -81.26654815673828, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1956, 'type': 'Truck', 'timestamp': '2023-11-19T18:51:56', 'truckId': 216, 'positionLatitude': 36.03482437133789, 'positionLongitude': -78.83523559570312, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1957, 'type': 'Truck', 'timestamp': '2023-11-19T18:52:28', 'truckId': 148, 'positionLatitude': 42.301055908203125, 'positionLongitude': -83.77735137939453, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 1958, 'type': 'Truck', 'timestamp': '2023-11-19T18:52:35', 'truckId': 164, 'positionLatitude': 41.87451553344727, 'positionLongitude': -87.91851043701172, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 1959, 'type': 'Truck', 'timestamp': '2023-11-19T18:52:41', 'truckId': 229, 'positionLatitude': 41.01202392578125, 'positionLongitude': -74.3015365600586, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1960, 'type': 'Truck', 'timestamp': '2023-11-19T18:53:06', 'truckId': 314, 'positionLatitude': 40.06446838378906, 'positionLongitude': -80.9935531616211, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 1961, 'type': 'Truck', 'timestamp': '2023-11-19T18:53:19', 'truckId': 163, 'positionLatitude': 41.03607177734375, 'positionLongitude': -81.50489044189453, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1962, 'type': 'Truck', 'timestamp': '2023-11-19T18:54:03', 'truckId': 290, 'positionLatitude': 36.941627502441406, 'positionLongitude': -77.72994995117188, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1963, 'type': 'Truck', 'timestamp': '2023-11-19T18:54:20', 'truckId': 175, 'positionLatitude': 40.7395133972168, 'positionLongitude': -73.89083862304688, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1964, 'type': 'Truck', 'timestamp': '2023-11-19T18:54:24', 'truckId': 236, 'positionLatitude': 35.54143142700195, 'positionLongitude': -82.79673767089844, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 1965, 'type': 'Truck', 'timestamp': '2023-11-19T18:55:00', 'truckId': 377, 'positionLatitude': 34.88677978515625, 'positionLongitude': -82.18212890625, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1966, 'type': 'Truck', 'timestamp': '2023-11-19T18:55:31', 'truckId': 326, 'positionLatitude': 33.84315490722656, 'positionLongitude': -84.48768615722656, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 1967, 'type': 'Truck', 'timestamp': '2023-11-19T18:55:44', 'truckId': 225, 'positionLatitude': 41.99462890625, 'positionLongitude': -83.67119598388672, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1968, 'type': 'Truck', 'timestamp': '2023-11-19T18:56:21', 'truckId': 281, 'positionLatitude': 38.059600830078125, 'positionLongitude': -85.69923400878906, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 1969, 'type': 'Truck', 'timestamp': '2023-11-19T18:56:24', 'truckId': 182, 'positionLatitude': 43.89218521118164, 'positionLongitude': -84.77879333496094, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1970, 'type': 'Truck', 'timestamp': '2023-11-19T18:56:24', 'truckId': 338, 'positionLatitude': 35.52168273925781, 'positionLongitude': -84.59355163574219, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1971, 'type': 'Truck', 'timestamp': '2023-11-19T18:57:29', 'truckId': 148, 'positionLatitude': 42.32343673706055, 'positionLongitude': -83.69673156738281, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 1972, 'type': 'Truck', 'timestamp': '2023-11-19T18:58:43', 'truckId': 226, 'positionLatitude': 33.75080490112305, 'positionLongitude': -84.49677276611328, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1973, 'type': 'Truck', 'timestamp': '2023-11-19T18:58:55', 'truckId': 363, 'positionLatitude': 35.088375091552734, 'positionLongitude': -79.72333526611328, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1974, 'type': 'Truck', 'timestamp': '2023-11-19T18:58:57', 'truckId': 397, 'positionLatitude': 43.74952697753906, 'positionLongitude': -73.81922149658203, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 1975, 'type': 'Truck', 'timestamp': '2023-11-19T18:59:00', 'truckId': 358, 'positionLatitude': 37.14831161499024, 'positionLongitude': -81.0772705078125, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 1976, 'type': 'Truck', 'timestamp': '2023-11-19T18:59:00', 'truckId': 265, 'positionLatitude': 39.19831466674805, 'positionLongitude': -84.4710922241211, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1977, 'type': 'Truck', 'timestamp': '2023-11-19T19:00:40', 'truckId': 128, 'positionLatitude': 32.51463317871094, 'positionLongitude': -81.2737045288086, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1978, 'type': 'Truck', 'timestamp': '2023-11-19T19:00:43', 'truckId': 238, 'positionLatitude': 40.45909118652344, 'positionLongitude': -74.46825408935547, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1979, 'type': 'Truck', 'timestamp': '2023-11-19T19:00:49', 'truckId': 310, 'positionLatitude': 37.77364349365234, 'positionLongitude': -81.06900024414062, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 1980, 'type': 'Truck', 'timestamp': '2023-11-19T19:01:47', 'truckId': 207, 'positionLatitude': 39.87690734863281, 'positionLongitude': -84.91314697265625, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1981, 'type': 'Truck', 'timestamp': '2023-11-19T19:01:55', 'truckId': 177, 'positionLatitude': 37.99009704589844, 'positionLongitude': -81.32682037353516, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1982, 'type': 'Truck', 'timestamp': '2023-11-19T19:02:17', 'truckId': 205, 'positionLatitude': 37.0656623840332, 'positionLongitude': -84.09870910644531, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 1983, 'type': 'Truck', 'timestamp': '2023-11-19T19:02:31', 'truckId': 228, 'positionLatitude': 34.128273010253906, 'positionLongitude': -83.71432495117188, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1984, 'type': 'Truck', 'timestamp': '2023-11-19T19:02:42', 'truckId': 380, 'positionLatitude': 39.8609733581543, 'positionLongitude': -84.96830749511719, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1985, 'type': 'Truck', 'timestamp': '2023-11-19T19:03:08', 'truckId': 314, 'positionLatitude': 40.05953979492188, 'positionLongitude': -81.18634796142578, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 1986, 'type': 'Truck', 'timestamp': '2023-11-19T19:03:08', 'truckId': 204, 'positionLatitude': 38.97253036499024, 'positionLongitude': -84.63793182373047, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 1987, 'type': 'Truck', 'timestamp': '2023-11-19T19:03:14', 'truckId': 226, 'positionLatitude': 33.695091247558594, 'positionLongitude': -84.5001449584961, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1988, 'type': 'Truck', 'timestamp': '2023-11-19T19:03:17', 'truckId': 170, 'positionLatitude': 38.78706741333008, 'positionLongitude': -82.08551025390625, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1989, 'type': 'Truck', 'timestamp': '2023-11-19T19:04:04', 'truckId': 363, 'positionLatitude': 34.9901008605957, 'positionLongitude': -79.76679229736328, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1990, 'type': 'Truck', 'timestamp': '2023-11-19T19:04:54', 'truckId': 214, 'positionLatitude': 40.24323654174805, 'positionLongitude': -83.39759063720703, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1991, 'type': 'Truck', 'timestamp': '2023-11-19T19:05:11', 'truckId': 425, 'positionLatitude': 39.9091911315918, 'positionLongitude': -83.02206420898438, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 1992, 'type': 'Truck', 'timestamp': '2023-11-19T19:05:29', 'truckId': 274, 'positionLatitude': 44.50845718383789, 'positionLongitude': -70.40672302246094, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1993, 'type': 'Truck', 'timestamp': '2023-11-19T19:06:42', 'truckId': 180, 'positionLatitude': 43.820831298828125, 'positionLongitude': -79.72602081298828, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 1994, 'type': 'Truck', 'timestamp': '2023-11-19T19:07:15', 'truckId': 207, 'positionLatitude': 39.889915466308594, 'positionLongitude': -85.02550506591797, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 1995, 'type': 'Truck', 'timestamp': '2023-11-19T19:07:21', 'truckId': 139, 'positionLatitude': 32.89801025390625, 'positionLongitude': -80.02391815185547, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 1996, 'type': 'Truck', 'timestamp': '2023-11-19T19:07:48', 'truckId': 266, 'positionLatitude': 41.34721374511719, 'positionLongitude': -82.3197021484375, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1997, 'type': 'Truck', 'timestamp': '2023-11-19T19:07:50', 'truckId': 383, 'positionLatitude': 39.95196533203125, 'positionLongitude': -75.15996551513672, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1998, 'type': 'Truck', 'timestamp': '2023-11-19T19:07:51', 'truckId': 144, 'positionLatitude': 35.89999771118164, 'positionLongitude': -80.85659790039062, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 1999, 'type': 'Truck', 'timestamp': '2023-11-19T19:08:40', 'truckId': 232, 'positionLatitude': 35.1285400390625, 'positionLongitude': -85.76100158691406, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 2000, 'type': 'Truck', 'timestamp': '2023-11-19T19:08:52', 'truckId': 390, 'positionLatitude': 38.71207046508789, 'positionLongitude': -84.60356140136719, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 2001, 'type': 'Truck', 'timestamp': '2023-11-19T19:09:01', 'truckId': 399, 'positionLatitude': 40.62261199951172, 'positionLongitude': -79.18708801269531, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 2002, 'type': 'Truck', 'timestamp': '2023-11-19T19:09:23', 'truckId': 255, 'positionLatitude': 36.21410369873047, 'positionLongitude': -86.32262420654297, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 2003, 'type': 'Truck', 'timestamp': '2023-11-19T19:09:34', 'truckId': 418, 'positionLatitude': 34.842769622802734, 'positionLongitude': -78.97250366210938, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 2004, 'type': 'Truck', 'timestamp': '2023-11-19T19:09:39', 'truckId': 100, 'positionLatitude': 35.258689880371094, 'positionLongitude': -81.17398071289062, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 2005, 'type': 'Truck', 'timestamp': '2023-11-19T19:10:59', 'truckId': 260, 'positionLatitude': 36.8804817199707, 'positionLongitude': -81.39193725585938, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 2006, 'type': 'Truck', 'timestamp': '2023-11-19T19:11:05', 'truckId': 308, 'positionLatitude': 34.2616081237793, 'positionLongitude': -85.32437133789062, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 2007, 'type': 'Truck', 'timestamp': '2023-11-19T19:11:24', 'truckId': 111, 'positionLatitude': 40.688255310058594, 'positionLongitude': -74.58002471923828, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 2008, 'type': 'Truck', 'timestamp': '2023-11-19T19:11:47', 'truckId': 160, 'positionLatitude': 41.141414642333984, 'positionLongitude': -80.72172546386719, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 2009, 'type': 'Truck', 'timestamp': '2023-11-19T19:12:15', 'truckId': 290, 'positionLatitude': 37.18769836425781, 'positionLongitude': -77.49295806884766, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 2010, 'type': 'Truck', 'timestamp': '2023-11-19T19:12:22', 'truckId': 146, 'positionLatitude': 38.54168319702149, 'positionLongitude': -77.34703826904297, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 2011, 'type': 'Truck', 'timestamp': '2023-11-19T19:12:47', 'truckId': 413, 'positionLatitude': 43.00845336914063, 'positionLongitude': -78.86276245117188, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 2012, 'type': 'Truck', 'timestamp': '2023-11-19T19:12:48', 'truckId': 229, 'positionLatitude': 40.80000305175781, 'positionLongitude': -74.46666717529297, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 2013, 'type': 'Truck', 'timestamp': '2023-11-19T19:14:46', 'truckId': 172, 'positionLatitude': 36.704193115234375, 'positionLongitude': -77.55191802978516, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 2014, 'type': 'Truck', 'timestamp': '2023-11-19T19:15:15', 'truckId': 419, 'positionLatitude': 33.89242172241211, 'positionLongitude': -81.35489654541016, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 2015, 'type': 'Truck', 'timestamp': '2023-11-19T19:15:44', 'truckId': 238, 'positionLatitude': 40.50715255737305, 'positionLongitude': -74.45671844482422, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 2016, 'type': 'Truck', 'timestamp': '2023-11-19T19:15:52', 'truckId': 332, 'positionLatitude': 36.0888557434082, 'positionLongitude': -77.80736541748047, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 2017, 'type': 'Truck', 'timestamp': '2023-11-19T19:16:00', 'truckId': 188, 'positionLatitude': 41.57388687133789, 'positionLongitude': -87.57513427734375, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 2018, 'type': 'Truck', 'timestamp': '2023-11-19T19:16:24', 'truckId': 212, 'positionLatitude': 35.58307266235352, 'positionLongitude': -81.4214096069336, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 2019, 'type': 'Truck', 'timestamp': '2023-11-19T19:17:07', 'truckId': 293, 'positionLatitude': 38.24446105957031, 'positionLongitude': -81.56932067871094, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 2020, 'type': 'Truck', 'timestamp': '2023-11-19T19:17:09', 'truckId': 396, 'positionLatitude': 39.65250778198242, 'positionLongitude': -77.9208755493164, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 2021, 'type': 'Truck', 'timestamp': '2023-11-19T19:18:19', 'truckId': 353, 'positionLatitude': 40.561920166015625, 'positionLongitude': -82.63697052001953, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Short'}
{'seq': 2022, 'type': 'Truck', 'timestamp': '2023-11-19T19:18:25', 'truckId': 240, 'positionLatitude': 33.707637786865234, 'positionLongitude': -84.20408630371094, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 2023, 'type': 'Truck', 'timestamp': '2023-11-19T19:19:04', 'truckId': 265, 'positionLatitude': 39.0286979675293, 'positionLongitude': -84.61028289794922, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 2024, 'type': 'Truck', 'timestamp': '2023-11-19T19:19:04', 'truckId': 265, 'positionLatitude': 39.05194854736328, 'positionLongitude': -84.55941772460938, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 2025, 'type': 'Truck', 'timestamp': '2023-11-19T19:20:00', 'truckId': 199, 'positionLatitude': 39.35943603515625, 'positionLongitude': -77.15885162353516, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 2026, 'type': 'Truck', 'timestamp': '2023-11-19T19:20:19', 'truckId': 253, 'positionLatitude': 33.78934097290039, 'positionLongitude': -84.24697875976562, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 2027, 'type': 'Truck', 'timestamp': '2023-11-19T19:20:32', 'truckId': 137, 'positionLatitude': 39.96260070800781, 'positionLongitude': -74.91312408447266, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 2028, 'type': 'Truck', 'timestamp': '2023-11-19T19:20:53', 'truckId': 329, 'positionLatitude': 41.04286575317383, 'positionLongitude': -73.57347106933594, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 2029, 'type': 'Truck', 'timestamp': '2023-11-19T19:21:06', 'truckId': 154, 'positionLatitude': 37.35247421264648, 'positionLongitude': -84.30782318115234, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 2030, 'type': 'Truck', 'timestamp': '2023-11-19T19:21:14', 'truckId': 379, 'positionLatitude': 34.658870697021484, 'positionLongitude': -81.02909851074219, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 2031, 'type': 'Truck', 'timestamp': '2023-11-19T19:21:26', 'truckId': 182, 'positionLatitude': 43.89612579345703, 'positionLongitude': -85.30244445800781, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 2032, 'type': 'Truck', 'timestamp': '2023-11-19T19:21:33', 'truckId': 186, 'positionLatitude': 39.82011795043945, 'positionLongitude': -85.83397674560547, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
{'seq': 2033, 'type': 'Truck', 'timestamp': '2023-11-19T19:21:46', 'truckId': 256, 'positionLatitude': 33.74065399169922, 'positionLongitude': -81.54263305664062, 'equipType': 'Flatbed', 'nextTripLengthPreference': 'Long'}
{'seq': 2034, 'type': 'Truck', 'timestamp': '2023-11-19T19:21:50', 'truckId': 162, 'positionLatitude': 35.37729263305664, 'positionLongitude': -80.84807586669922, 'equipType': 'Van', 'nextTripLengthPreference': 'Short'}
{'seq': 2035, 'type': 'Truck', 'timestamp': '2023-11-19T19:22:47', 'truckId': 145, 'positionLatitude': 32.10383605957031, 'positionLongitude': -83.76312255859375, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Long'}
{'seq': 2036, 'type': 'Truck', 'timestamp': '2023-11-19T19:22:47', 'truckId': 229, 'positionLatitude': 40.6933822631836, 'positionLongitude': -74.57079315185547, 'equipType': 'Reefer', 'nextTripLengthPreference': 'Short'}
{'seq': 2037, 'type': 'Truck', 'timestamp': '2023-11-19T19:22:54', 'truckId': 106, 'positionLatitude': 36.77924728393555, 'positionLongitude': -80.82389831542969, 'equipType': 'Van', 'nextTripLengthPreference': 'Long'}
